Call/CW,lat,lon,tempc
CW4957,42.5955,-72.59033,
CW5324,42.4,-72.5,0.7122558725250042
DW0929,42.08,-72.4845,0.7403920900267286
DW3637,42.14633,-72.57867,0.7506902862368388
DW7061,42.4375,-72.432,0.8367183713466092
EW5291,42.25183,-72.38567,0.7866370299302645
EW8484,42.22367,-72.3745,0.7608077036476982
FW2825,42.28017,-72.70167,0.693684907732775
FW3821,42.5005,-72.768,0.8396901791651983
FW6610,42.31617,-72.66483,0.7297683556221779
GW2867,42.29,-72.73967,
GW3043,42.53233,-72.54767,0.7122558725250042
GW3371,42.60533,-72.55683,0.7054410039593897
